TASK,NAME,EMAIL,STAT…,CREA…,UPDA…,DELE…,FILE…,FILE…
Life…,Jere…,39683,2113…,218.…,18.06,Nort…,Chai…,0.57
DAX…,Jere…,39683,66.97,20.24,6.67,Nort…,Offi…,0.49
Stoc…,Jere…,39683,6.37,2.18,0.78,Nort…,Rubb…,0.52
Imat…,Cind…,39846,-62.…,4.98,4.62,Nort…,Comp…,0.64
8260,Heat…,40036,-147…,65.99,8.99,Nort…,Tele…,0.58
3390,Alan…,40067,519.…,65.99,5.31,Nort…,Tele…,0.57
Glob…,Hunt…,40132,149.…,50.98,14.19,Nort…,Chai…,0.56
Bevi…,Hunt…,40132,-219…,124.…,51.94,Nort…,Tabl…,0.63
Aver…,Hunt…,40132,-86.2,22.38,15.1,Nort…,Bind…,0.38
Howa…,Juli…,40160,202.…,63.94,14.48,Nort…,Offi…,0.46
ACCO…,Carl…,40518,-12.…,4.13,5.04,Nort…,Bind…,0.38
Glob…,Barr…,40804,-177…,122.…,70.2,Nort…,Chai…,0.74
Wils…,Susa…,40902,-48.…,7.1,6.05,Nort…,Bind…,0.39
Bost…,Carl…,41063,-34.…,21.38,8.99,Nort…,Pens…,0.59
Acce…,Carl…,41063,42.27,35.99,0.99,Nort…,Tele…,0.35
Acce…,Carl…,41063,822.…,85.99,1.25,Nort…,Tele…,0.39
Fell…,Alan…,41153,-45.1,30.73,4,Nort…,Comp…,0.75
Hang…,Char…,41184,-56.…,15.7,11.25,Nort…,Stor…,0.6
Ibic…,Beth…,41409,-18.…,11.5,7.19,Nort…,Bind…,0.4
Hoov…,Brya…,41696,-208…,4.48,49,Nort…,Appl…,0.6
Fell…,Alan…,42209,-12.…,67.84,0.99,Nort…,Appl…,0.58
SAFC…,Alan…,42209,2795…,276.2,24.49,Nort…,Chai…,
Acce…,Beth…,42561,298.…,85.99,2.5,Nort…,Tele…,0.35
Glob…,Mike…,42564,2155…,200.…,23.76,Nort…,Chai…,0.58
3390,Delf…,42695,-10.3,65.99,5.31,Nort…,Tele…,0.57
GBC…,Susa…,42981,232.…,896.…,19.99,Nort…,Bind…,0.38
GBC…,Doro…,43109,-21.…,15.01,8.4,Nort…,Bind…,0.39
Micr…,Doro…,43109,-145…,20.97,6.5,Nort…,Comp…,0.78
TDK…,Doro…,43109,-3.96,10.01,1.99,Nort…,Comp…,0.41
Xero…,Susa…,43203,-33.…,6.68,5.2,Nort…,Paper,0.37
DAX…,Jami…,43236,10.68,9.77,6.02,Nort…,Offi…,0.48
Hone…,Fred…,43267,171.…,76.72,19.95,Nort…,Appl…,0.54
Belk…,Doug…,43329,752.…,59.98,3.99,Nort…,Appl…,0.57
8260,Fred…,43330,337.…,65.99,8.99,Nort…,Tele…,0.58
Recy…,Susa…,43364,158.…,23.99,6.71,Nort…,Enve…,0.35
Mult…,Doug…,43392,2969…,162.…,19.99,Nort…,Enve…,0.39
Whit…,Clau…,43781,240.…,10.94,1.39,Nort…,Enve…,0.35
Aver…,Clau…,43781,393.…,40.98,2.99,Nort…,Bind…,0.36
DXL�…,Fran…,44071,-43.…,5.99,4.92,Nort…,Bind…,0.38
8260,Fran…,44071,83.84,65.99,8.99,Nort…,Tele…,0.58
Newe…,Doro…,44519,-144…,4.57,5.42,Nort…,Bind…,0.37
Lase…,Doro…,44519,155.…,10.67,1.39,Nort…,Enve…,0.39
Okid…,Doro…,44519,5386…,442.…,14.7,Nort…,Offi…,0.56
Eldo…,Alle…,44708,-37.…,1.74,4.08,Nort…,Offi…,0.53
Acce…,Doro…,44772,-232…,55.99,5,Nort…,Tele…,0.83
Lind…,Juli…,44839,-246…,33.98,19.99,Nort…,Offi…,0.55
2160i,Ralp…,45217,1864…,200.…,4.2,Nort…,Tele…,0.59
Glob…,Mich…,45440,-183…,135.…,28.63,Nort…,Chai…,0.76
Howa…,Char…,45766,1026…,63.94,14.48,Nort…,Offi…,0.46
Cano…,Char…,45766,1765…,140.…,13.99,Nort…,Offi…,0.37
Acce…,Alle…,45861,319.1,20.99,0.99,Nort…,Tele…,0.37
Verb…,Neol…,45957,162.…,39.24,1.99,Nort…,Comp…,0.51
Redi…,Neol…,45957,-30.…,7.64,5.83,Nort…,Paper,0.36
C-Li…,Joy…,46912,181.…,54.74,14.83,Nort…,Offi…,0.54
Aver…,Moni…,46980,103.…,6.3,0.5,Nort…,Labe…,0.39
SANF…,Jami…,47460,-3.64,2.84,0.93,Nort…,Pens…,0.54
Aver…,Susa…,47462,-166…,3.58,5.47,Nort…,Bind…,0.37
Dixo…,Susa…,47462,-1.22,5.85,2.27,Nort…,Pens…,0.56
Acco…,Susa…,47462,21.62,3.29,1.35,Nort…,Rubb…,0.4
Fisk…,Char…,47620,20.27,10.98,3.37,Nort…,Scis…,0.57
Elit…,Cari…,47749,-188…,8.45,7.77,Nort…,Scis…,0.55
Eldo…,Doug…,47873,-17.…,5.89,5.57,Nort…,Offi…,0.41
Aver…,Don…,47943,24.06,4.91,0.5,Nort…,Labe…,0.36
Bost…,Don…,47943,63.46,15.94,5.45,Nort…,Pens…,0.55
Xero…,Fred…,48101,-39.…,22.84,16.87,Nort…,Paper,0.39
Soun…,Brya…,48295,4938…,204.1,13.99,Nort…,Offi…,0.37
Dot…,Carl…,48839,-37.…,98.31,0.49,Nort…,Labe…,0.36
Euro…,Joy…,49154,-807…,60.98,49,Nort…,Appl…,0.59
Pana…,Clau…,49921,-280…,145.…,17.85,Nort…,Offi…,0.56
Recy…,Clau…,49921,-7.26,12.28,6.13,Nort…,Stor…,0.57
Tene…,Beth…,49952,630.…,107.…,5.81,Nort…,Offi…,0.65
Aver…,Alle…,50117,14.49,2.89,0.5,Nort…,Labe…,0.38
Prem…,Beth…,50278,-27.…,20.98,8.83,Nort…,Bind…,0.37
Barr…,Beth…,50278,-355…,100.8,60,Nort…,Tabl…,0.59
GBC…,Susa…,50374,1443…,120.…,9.07,Nort…,Bind…,0.35
Brow…,Sylv…,50565,-138…,16.98,12.39,Nort…,Enve…,0.35
Acme…,Joy…,50688,27.86,12.98,3.14,Nort…,Scis…,0.6
Bell…,Beck…,50754,-58.…,7.99,5.03,Nort…,Tele…,0.6
A1228,Carl…,50914,2763…,195.…,8.99,Nort…,Tele…,0.58
"3M P…",Cari…,51169,-192…,136.…,24.49,Nort…,Offi…,0.59
8290,Jim…,51938,-488…,125.…,5.63,Nort…,Tele…,0.6
Hewl…,Alle…,51970,-343…,115.…,56.14,Nort…,Offi…,0.4
Fell…,Doro…,51971,-112…,32.48,35,Nort…,Stor…,0.81
Lesr…,Doro…,51971,-803…,182.…,69,Nort…,Tabl…,0.72
Aver…,Mike…,52193,10.51,2.88,0.5,Nort…,Labe…,0.39
Newe…,Mike…,52193,6.04,2.94,0.96,Nort…,Pens…,0.58
Recy…,Doug…,52321,-37.…,12.28,6.13,Nort…,Stor…,0.57
SAFC…,Doug…,52321,5626…,349.…,60,Nort…,Tabl…,
Cano…,Susa…,52386,-188…,120.…,26.3,Nort…,Offi…,0.38
Pana…,Andr…,52807,204.…,21.98,2.87,Nort…,Pens…,0.55
AT&T…,Muha…,52929,-90.…,15.99,9.4,Nort…,Offi…,0.49
Newe…,Muha…,52929,-6.53,2.78,1.25,Nort…,Pens…,0.59
Stap…,Muha…,52929,7.34,6.47,1.22,Nort…,Pens…,0.4
Stap…,Muha…,52929,19.68,3.93,0.99,Nort…,Rubb…,0.39
"3M P…",Jim…,52964,828.…,136.…,24.49,Nort…,Offi…,0.59
Aver…,Brya…,53156,56.44,4.13,0.99,Nort…,Labe…,0.39
Fell…,Anth…,53511,-243…,5.81,8.49,Nort…,Bind…,0.39
Eldo…,Anth…,53511,-53.…,9.65,6.22,Nort…,Offi…,0.55
O'Su…,Doug…,53797,-213…,58.14,36.61,Nort…,Book…,0.61
T18,Carl…,53990,1411…,110.…,2.5,Nort…,Tele…,0.57
Sany…,Don…,54083,258.…,279.…,23.19,Nort…,Appl…,0.59
Hone…,Don…,54274,328,78.65,13.99,Nort…,Appl…,0.52
Stap…,Chad…,54276,299.…,35.44,4.92,Nort…,Paper,0.38
Bost…,Ralp…,54528,-85.…,11.66,8.99,Nort…,Pens…,0.59
Stap…,Ralp…,54528,-6.38,10.48,2.89,Nort…,Pens…,0.6
Eldo…,Nico…,54567,-61.…,6.28,5.41,Nort…,Offi…,0.53
Memo…,Fred…,54628,115.…,22.98,1.99,Nort…,Comp…,0.46
Glob…,Brya…,55298,-165…,300.…,64.73,Nort…,Chai…,0.56
Dual…,Ralp…,55363,542.…,155.…,7.07,Nort…,Stor…,0.59
Fell…,Doug…,55366,-204…,55.94,6.55,Nort…,Comp…,0.68
Wils…,Euge…,55715,16.65,5.28,2.99,Nort…,Bind…,0.37
Mast…,Brad…,55875,39.29,7.59,4,Nort…,Offi…,0.42
Perm…,Brad…,55875,-104…,5.98,4.69,Nort…,Stor…,0.68
Epso…,Doro…,56453,-557…,2550…,29.7,Nort…,Offi…,0.57
Xero…,Ralp…,57127,171.…,55.48,14.3,Nort…,Paper,0.37
Sout…,Sylv…,57344,-71.…,28.99,8.59,Nort…,Tele…,0.56
Aver…,Neol…,57509,101.…,4.91,0.5,Nort…,Labe…,0.36
Bevi…,Neol…,57509,-202…,259.…,66.67,Nort…,Tabl…,0.61
GBC…,Gran…,57600,584.…,59.78,10.29,Nort…,Bind…,0.39
Aver…,Gran…,57600,85.81,4.13,0.5,Prin…,Labe…,0.39
Xero…,Gran…,57600,-8.42,30.98,17.08,Prin…,Paper,0.4
Eldo…,Juli…,58055,-56.…,7.38,5.21,Prin…,Offi…,0.56
Xero…,Muha…,58144,257.…,26.38,5.86,Prin…,Paper,0.39
Peel…,Susa…,58150,-119…,2.16,6.05,Prin…,Bind…,0.37
Eure…,Sylv…,58340,278.…,50.98,13.66,Prin…,Appl…,0.58
Eldo…,Doug…,58368,-4.43,2.08,5.33,Prin…,Offi…,0.43
Xero…,Doug…,58368,-206…,6.48,9.54,Prin…,Paper,0.37
Fell…,Doug…,58368,-76.…,64.98,6.88,Prin…,Stor…,0.73
Exec…,Doro…,58434,268.…,19.23,6.15,Prin…,Offi…,0.44
Glob…,Henr…,58626,673.…,300.…,64.73,Prin…,Chai…,0.56
Glob…,Henr…,58626,2608…,500.…,26,Prin…,Chai…,0.6
Verb…,Henr…,58626,171.…,45.19,1.99,Prin…,Comp…,0.55
Stap…,Gran…,58688,-41.…,11.97,5.81,Prin…,Pens…,0.6
Pres…,Chad…,59045,32.87,4.55,1.49,Prin…,Bind…,0.35
Memo…,Beth…,59047,19.2,28.48,1.99,Prin…,Comp…,0.4
Eldo…,Beth…,59047,-93.…,4.14,6.6,Prin…,Offi…,0.49
Aver…,Andr…,59202,21.92,12.53,0.5,Prin…,Labe…,0.38
Dixo…,Andr…,59202,7.45,5.85,2.27,Prin…,Pens…,0.56
Glob…,Sylv…,59207,-945…,280.…,81.98,Prin…,Tabl…,0.78
Kens…,Mich…,59234,2109…,177.…,0.99,Prin…,Appl…,0.56
Glob…,Mich…,59234,11.46,50.98,14.19,Prin…,Chai…,0.56
Xero…,Cari…,59395,367.…,48.04,7.23,Prin…,Paper,0.37
Aver…,Henr…,59558,37.73,2.61,0.5,Prin…,Labe…,0.39
AT&T…,Edwa…,59585,-110…,15.99,9.4,Prin…,Offi…,0.49
Fell…,Bren…,59651,-196…,8.04,8.94,Prin…,Bind…,0.4
Eldo…,Bren…,59651,-52.…,2.23,4.57,Prin…,Offi…,0.41
GBC…,Haro…,645,89.45,12.95,4.98,Prin…,Bind…,0.4
Hewl…,Roy…,769,4.15,115.…,56.14,Prin…,Offi…,0.4
Talk…,Hele…,773,324.…,65.99,8.99,Prin…,Tele…,0.56
Logi…,Guy…,1187,20.21,15.98,4,Prin…,Comp…,0.37
Fell…,Jenn…,2339,-120…,140.…,19.99,Prin…,Stor…,0.73
Newe…,Giul…,3521,28.71,4.28,0.94,Prin…,Pens…,0.56
Conq…,Jack…,4007,112.…,56.96,13.22,Prin…,Appl…,0.56
Tenn…,Jack…,4007,-232…,279.…,35,Prin…,Stor…,0.8
GBC…,Eric…,4416,2665…,165.…,19.99,Prin…,Bind…,0.4
Aver…,Eric…,4454,21.42,3.08,0.5,Prin…,Labe…,0.37
SAFC…,Hele…,5153,1467…,128.…,12.65,Prin…,Chai…,
Mani…,Guy…,5446,44.1,10.98,4.8,Prin…,Enve…,0.36
Verb…,Hele…,8131,191.…,29.89,1.99,Prin…,Comp…,0.5
Keyt…,Chri…,8994,-580…,40.48,19.99,Prin…,Comp…,0.77
Acce…,Roy…,9027,458.…,35.99,0.99,Prin…,Tele…,0.35
Avan…,Roy…,9216,-86.…,180.…,55.24,Prin…,Appl…,0.57
Bush…,Jenn…,9537,-382…,150.…,66.27,Prin…,Book…,0.65
Acco…,Jenn…,9537,-149…,3.81,5.44,Prin…,Bind…,0.36
Ibic…,Joy…,9574,-68.…,11.5,7.19,Prin…,Bind…,0.4
Bost…,Evan…,10435,-14.…,22.99,8.99,Prin…,Pens…,0.57
Hunt…,Evan…,10435,-162…,11.66,7.95,Prin…,Pens…,0.58
Mart…,Jenn…,10851,-175…,12.88,4.59,Prin…,Scis…,0.82
Recy…,Haro…,10852,-27.…,15.28,10.91,Prin…,Bind…,0.36
Atla…,Haro…,10852,3030…,300.…,54.92,Prin…,Book…,0.55
i1000,Haro…,11269,354.…,65.99,5.99,Prin…,Tele…,0.58
Aver…,Haro…,11269,112.…,4.91,0.5,Prin…,Labe…,0.36
Fell…,Haro…,11269,-19.…,27.75,19.99,Prin…,Stor…,0.67
Rubb…,Hila…,11362,569.…,110.…,13.99,Prin…,Offi…,0.69
*Sta…,Hila…,11362,-119…,2.18,5,Prin…,Scis…,0.81
Cano…,Hila…,11362,-690…,699.…,24.49,Prin…,Copi…,0.41
"LX 6…",Hila…,11362,424.…,110.…,8.99,Prin…,Tele…,0.57
Aver…,Chri…,11968,26.09,3.38,0.85,Prin…,Pens…,0.48
#10-…,Haro…,12293,119.…,8.74,1.39,Prin…,Enve…,0.38
Acco…,Greg…,12773,-4.61,2.78,1.49,Prin…,Bind…,0.39
Eldo…,Greg…,12773,-49.6,4.14,6.6,Prin…,Offi…,0.49
Xero…,Greg…,12773,-77.…,6.48,7.86,Prin…,Paper,0.37
Newe…,Greg…,12773,-50.…,3.28,3.97,Prin…,Pens…,0.56
Stap…,Guy…,12934,186.…,9.78,1.39,Prin…,Enve…,0.39
Newe…,Guy…,12934,-66.…,3.28,3.97,Prin…,Pens…,0.56
GBC…,Joy…,13120,82.59,12.95,4.98,Prin…,Bind…,0.4
GBC…,Joy…,13120,-17.…,24.92,12.98,Prin…,Bind…,0.39
Micr…,Eric…,13604,1166…,83.1,6.13,Prin…,Comp…,0.45
Eldo…,Eric…,13604,-139…,90.98,56.2,Prin…,Offi…,0.74
Xero…,Dan…,13927,-21.…,6.48,5.16,Prin…,Paper,0.37
Zoom…,Eric…,15044,167.…,39.99,10.25,Prin…,Comp…,0.55
Glob…,Guy…,15139,636.2,300.…,64.73,Prin…,Chai…,0.56
Tenn…,Guy…,15139,-116…,20.98,45,Prin…,Stor…,0.61
Xero…,Evan…,15463,-193…,5.98,7.5,Prin…,Paper,0.4
Xero…,Joy…,15618,-34.…,5.28,6.26,Prin…,Paper,0.4
Xero…,Joy…,15618,26.27,18.97,9.54,Prin…,Paper,0.37
Star…,Joy…,15618,-11.4,65.99,3.99,Prin…,Tele…,0.59
Magn…,Paul…,16100,-115…,4.82,5.72,Prin…,Offi…,0.47
M3682,Fili…,16320,176.…,125.…,8.08,Prin…,Tele…,0.57
Xero…,Joy…,16419,-103…,5.78,5.67,Prin…,Paper,0.36
Saud…,Greg…,17090,-443…,140.…,36.09,Prin…,Book…,0.77
Glob…,Greg…,17090,-108…,122.…,70.2,Prin…,Chai…,0.74
Wire…,Joy…,17315,64.01,5.43,0.95,Prin…,Paper,0.36
Memo…,Joy…,17376,425.…,28.48,1.99,Prin…,Comp…,0.4
Hoov…,Greg…,18210,2437…,363.…,19.99,Prin…,Appl…,0.57
Newe…,Greg…,18210,12.58,2.88,0.7,Prin…,Pens…,0.56
Zoom…,Jack…,18273,-3.68,49.99,19.99,Prin…,Comp…,0.41
Tele…,Joy…,18788,-19.…,19.99,11.17,Prin…,Offi…,0.6
Wils…,Evan…,19042,54.9,40.98,7.47,Prin…,Bind…,0.37
Eldo…,Chuc…,19073,20.08,10.64,5.16,Prin…,Offi…,0.57
Pran…,Chuc…,19073,5.81,2.78,1.34,Prin…,Pens…,0.45
Xero…,Fili…,19365,-43.…,5.98,5.2,Prin…,Paper,0.36
"TI 3…",Jack…,19617,270.…,23.99,6.3,Prin…,Offi…,0.38
"V 36…",Jack…,19617,-296…,65.99,8.99,Prin…,Tele…,0.58
Shar…,Jack…,20033,-101…,499.…,24.49,Prin…,Copi…,0.36
Hon…,Haro…,21223,-144…,100.…,26.22,Prin…,Book…,0.6
Defl…,Haro…,21223,122.…,51.65,18.45,Prin…,Offi…,0.65
Lock…,Jack…,21378,391.6,28.53,1.49,Prin…,Bind…,0.38
U.S.…,Jack…,21378,26.94,99.99,19.99,Prin…,Comp…,0.5
Bost…,Fran…,21542,-27.…,21.38,8.99,Prin…,Pens…,0.59
Bret…,Fran…,21542,715.…,348.…,84.84,Prin…,Tabl…,0.66
Euro…,Jack…,22469,-678…,60.98,49,Prin…,Appl…,0.59
Hon…,Jack…,22469,40.32,290.…,69,Prin…,Tabl…,0.67
Belk…,Evan…,22656,-77.…,30.98,6.5,Prin…,Comp…,0.64
Rive…,Joy…,22695,161.…,10.06,2.06,Prin…,Paper,0.39
Colo…,Dan…,23076,122.…,14.2,5.3,Prin…,Offi…,0.46
8860,Jack…,24038,82.04,65.99,5.26,Prin…,Tele…,0.56
Xero…,Fran…,24067,-79.…,5.98,7.5,Prin…,Paper,0.4
252,Fran…,24067,751.…,65.99,5.92,Prin…,Tele…,0.55
Shar…,Eric…,24388,-704…,549.…,49,Prin…,Copi…,0.35
Holm…,Jack…,24451,-564…,68.81,60,Prin…,Appl…,0.41
Wils…,Fili…,24806,-57.…,5.18,5.74,Prin…,Bind…,0.36
GBC…,Jack…,24965,580.…,420.…,19.99,Prin…,Bind…,0.35
Defl…,Jack…,24965,330.…,29.18,8.55,Prin…,Offi…,0.42
Sanf…,Giul…,25154,13.84,6.68,1.5,Prin…,Pens…,0.48
Holm…,Joy…,25315,3506…,225.…,11.79,Prin…,Appl…,0.42
SANF…,Joy…,25315,4.34,2.84,0.93,Prin…,Pens…,0.54
Hon…,Joy…,25315,-104…,31.76,45.51,Prin…,Tabl…,0.65
Eldo…,Greg…,25376,-31.…,6.28,5.29,Prin…,Offi…,0.43
"80 M…",Carl…,26240,439.…,39.48,1.99,Prin…,Comp…,0.54
"3M H…",Carl…,26240,12,3.7,1.61,Prin…,Offi…,0.44
X-Ra…,Haro…,26791,-48.2,11.29,5.03,Prin…,Stor…,0.59
688,Eric…,28836,2342…,195.…,4.2,Prin…,Tele…,0.6
Ibic…,Eric…,28836,170.…,172.…,19.99,Prin…,Bind…,0.39
IBM…,Hila…,28995,73.19,30.98,5.76,Prin…,Paper,0.4
Sout…,Hila…,28995,80.92,19.98,8.68,Prin…,Paper,0.37
Time…,Jack…,29121,575.…,125.…,7.69,Prin…,Tele…,0.58
Safc…,Fili…,29319,1151…,238.4,24.49,Prin…,Chai…,
Cano…,Fili…,29319,983.…,199.…,24.49,Prin…,Copi…,0.46
Stap…,Greg…,29382,78.96,5.68,1.39,Prin…,Enve…,0.38
12-1…,Greg…,29382,35.09,19.98,10.49,Prin…,Offi…,0.49
Lexm…,Haro…,29445,415.…,90.97,28,Prin…,Offi…,0.38
Bind…,Phil…,29762,0.78,1.48,0.7,Prin…,Rubb…,0.37
Avan…,Hele…,30048,433.…,180.…,55.24,Prin…,Appl…,0.57
Fell…,Hila…,30243,650.…,60.22,3.5,Prin…,Appl…,0.57
Cano…,Hila…,30243,340.…,199.…,24.49,Prin…,Copi…,0.46
Alum…,Chri…,30372,-7.39,12.22,2.85,Prin…,Offi…,0.55
Waus…,Carl…,30499,5.66,5.98,2.5,Prin…,Enve…,0.36
Newe…,Carl…,30499,42.34,5.84,1.2,Prin…,Pens…,0.55
Pres…,Eric…,32199,-99.…,4.91,4.97,Prin…,Bind…,0.38
Cano…,Eric…,32199,-306…,3499…,24.49,Prin…,Copi…,0.37
Newe…,Eric…,32199,-0.01,5.84,1.2,Prin…,Pens…,0.55
Chro…,Eric…,32327,-143…,550.…,147.…,Prin…,Tabl…,0.8
Verb…,Joy…,32676,523.…,45.19,1.99,Prin…,Comp…,0.55
"KF 7…",Joy…,32835,-19.…,45.99,4.99,Prin…,Tele…,0.56
Imat…,Chri…,32869,-82.…,8.12,2.83,Prin…,Comp…,0.77
Defl…,Chri…,32869,25.04,51.65,18.45,Prin…,Offi…,0.65
Sanf…,Chri…,32869,-7.51,6.68,1.5,Prin…,Pens…,0.48
2180,Chri…,32869,930.…,175.…,8.99,Prin…,Tele…,0.57
Shar…,Evan…,33763,-234…,499.…,24.49,Prin…,Copi…,0.36
Exec…,Chri…,34048,-10.…,22.23,3.63,Prin…,Offi…,0.52
*Sta…,Greg…,34275,26.66,4.84,0.71,Prin…,Pens…,0.52
Bost…,Haro…,34438,-30.…,20.15,8.99,Prin…,Pens…,0.58
Xero…,Phil…,34880,-62.…,6.48,5.19,Prin…,Paper,0.37
Self…,Carl…,34978,-269…,3.52,6.83,Prin…,Bind…,0.38
Cata…,Jenn…,35141,469.…,67.28,19.99,Prin…,Bind…,0.4
*Sta…,Dan…,35300,7.15,2.89,0.49,Prin…,Labe…,0.38
Defl…,Dan…,35300,126.…,41.32,8.66,Prin…,Offi…,0.76
Recy…,Dan…,35300,29.62,8.95,2.01,Prin…,Paper,0.39
9-3/…,Carl…,35558,-22.…,13.79,8.78,Prin…,Offi…,0.43
Logi…,Carl…,36293,250.…,100.…,7.18,Prin…,Comp…,0.4
Xero…,Carl…,36293,-94.…,6.48,7.49,Prin…,Paper,0.37
Logi…,Giul…,36516,51.3,100.…,7.18,Prin…,Comp…,0.4
Cano…,Jack…,36677,-734…,599.…,24.49,Prin…,Copi…,0.44
"12 C…",Guy…,37185,-13.…,2.6,2.4,Prin…,Pens…,0.58
Aver…,Hila…,37888,274.9,20.98,1.49,Prin…,Bind…,0.35
Hoov…,Jack…,38310,-141…,3.48,49,Prin…,Appl…,0.59
Colo…,Eric…,40327,-20.…,3.69,2.5,Prin…,Enve…,0.39
Xero…,Eric…,40327,-123…,4.28,5.74,Prin…,Paper,0.4
GBC…,Haro…,40480,3049…,420.…,19.99,Prin…,Bind…,0.35
DAX…,Haro…,40480,221.…,26.48,6.93,Prin…,Offi…,0.49
Stap…,Jim…,40800,26.11,5.68,1.39,Prin…,Enve…,0.38
GBC…,Jenn…,40835,-8.08,15.01,8.4,Prin…,Bind…,0.39
Keyt…,Jenn…,40835,-326…,40.48,19.99,Prin…,Comp…,0.77
Recy…,Jenn…,40835,-6.68,12.28,6.13,Prin…,Stor…,0.57
GBC…,Joy…,40871,-5.53,8.85,5.6,Prin…,Bind…,0.36
Offi…,Joy…,40871,-157…,110.…,30,Prin…,Chai…,0.71
Xero…,Haro…,41570,1037…,104.…,4.65,Prin…,Paper,0.37
Glob…,Phil…,41991,133.3,50.98,14.19,Prin…,Chai…,0.56
DAX…,Phil…,41991,68.44,14.58,7.4,Prin…,Offi…,0.48
Tene…,Phil…,41991,256.…,45.98,4.8,Prin…,Offi…,0.68
Belk…,Giul…,42400,11.55,19.98,4,Prin…,Comp…,0.68
Micr…,Giul…,42400,-168…,10.97,6.5,Prin…,Comp…,0.64
GBC…,Paul…,42754,32.19,10.98,5.14,Prin…,Bind…,0.36
GBC…,Loga…,42918,30.48,14.27,7.27,Prin…,Bind…,0.38
Shar…,Loga…,42918,-54.…,9.49,5.76,Prin…,Offi…,0.39
Hon…,Fili…,42944,1061…,216.6,64.2,Prin…,Chai…,0.59
Exec…,Carl…,44037,326.…,22.23,5.08,Prin…,Offi…,0.41
Acce…,Carl…,44037,557.6,55.99,1.25,Prin…,Tele…,0.55
Verb…,Eric…,44387,475.…,29.89,1.99,Prin…,Comp…,0.5
Sout…,Eric…,44387,-6.71,8.34,4.82,Prin…,Paper,0.4
Bevi…,Greg…,44576,-189…,124.…,51.94,Prin…,Tabl…,0.63
Xero…,Dan…,45601,267.…,19.98,5.97,Prin…,Paper,0.38
Eldo…,Jim…,45606,-124…,8.75,8.54,Prin…,Offi…,0.43
Dixo…,Jim…,45606,-8.38,5.85,2.27,Prin…,Pens…,0.56
Dura…,Carl…,46119,15.27,3.8,1.49,Prin…,Bind…,0.38
Adam…,Carl…,46119,57.31,7.98,1.25,Prin…,Paper,0.35
Bret…,Carl…,46119,-575…,417.4,75.23,Prin…,Tabl…,0.79
Arra…,Chuc…,46756,-22.…,7.28,11.15,Prin…,Paper,0.37
Aver…,Phil…,47714,-125…,5.53,6.98,Prin…,Bind…,0.39
Dana…,Hila…,47846,-9.45,10.68,13.04,Prin…,Offi…,0.6
Rubb…,Hila…,47846,631.…,110.…,13.99,Prin…,Offi…,0.69
Tene…,Hila…,47846,1581…,105.…,13.99,Prin…,Offi…,0.65
"HP O…",Hila…,47846,-120…,6.68,6.93,Prin…,Paper,0.37
Bion…,Greg…,47876,58.08,46.89,5.1,Prin…,Appl…,0.46
270c,Jenn…,48067,695.…,125.…,3,Prin…,Tele…,0.59
T28…,Jenn…,48067,630.7,195.…,8.99,Prin…,Tele…,0.6
#10-…,Eric…,48199,279.…,15.74,1.39,Prin…,Enve…,0.4
"CF 8…",Jim…,49029,2549…,195.…,3.99,Prin…,Tele…,0.59
GBC…,Noah…,49216,-45.…,24.92,12.98,Prin…,Bind…,0.39
Epso…,Noah…,49216,-172…,270.…,28.06,Mani…,Offi…,0.56
Stap…,Noah…,49216,30.63,12.28,6.35,Mani…,Paper,0.38
Okid…,Evan…,49990,501.…,442.…,14.7,Mani…,Offi…,0.56
Hon…,Guy…,50081,-88.…,70.98,26.74,Mani…,Book…,0.6
"24 C…",Guy…,50404,905.…,210.…,9.99,Mani…,Stor…,0.6
Lesr…,Guy…,50404,-367,182.…,69,Mani…,Tabl…,0.72
"PC C…",Chuc…,50784,-130…,32.98,5.5,Mani…,Comp…,0.75
Wils…,Greg…,50850,578.…,40.98,7.47,Mani…,Bind…,0.37
Bret…,Greg…,50850,-634…,417.4,75.23,Mani…,Tabl…,0.79
Acce…,Carl…,51075,-160…,35.99,5,Mani…,Tele…,0.82
Tele…,Greg…,51461,-97.…,19.99,11.17,Mani…,Offi…,0.6
Xero…,Greg…,51558,-87.…,6.68,6.92,Mani…,Paper,0.37
Barr…,Greg…,51558,85.29,85.29,60,Mani…,Tabl…,0.56
ACCO…,Carl…,52130,-39.…,4.13,5.34,Mani…,Bind…,0.38
Eldo…,Carl…,52130,-4.01,40.89,18.98,Mani…,Offi…,0.57
Belk…,Greg…,52482,163.…,40.98,5.33,Mani…,Appl…,0.57
Exec…,Greg…,52482,217.…,22.23,3.63,Mani…,Offi…,0.52
Holm…,Chri…,53410,-253…,14.81,13.32,Mani…,Appl…,0.43
Bevi…,Joy…,53477,-120…,95.95,74.35,Mani…,Chai…,0.57
Glob…,Joy…,53477,1261…,300.…,64.73,Mani…,Chai…,0.56
Snap…,Joy…,53477,536.…,37.94,5.08,Mani…,Paper,0.38
Fell…,Joy…,53477,610.9,161.…,19.99,Mani…,Stor…,0.66
Logi…,Joy…,53508,149.…,80.98,7.18,Mani…,Comp…,0.48
Shar…,Joy…,53508,-32.…,13.99,7.51,Mani…,Offi…,0.39
Whit…,Joy…,53508,1.06,15.04,1.97,Mani…,Paper,0.39
Fell…,Guy…,53703,-34.…,140.…,19.99,Mani…,Stor…,0.73
